,Area,Stratum,POI,Budget,fullMatrix,gravityMatrix,labelledSet,numPois
0,E08000025,AM Peak,School,0.3,169014120,3576653,756549,437
1,E08000025,AM Peak,School,0.2,169014120,3576653,498313,437
2,E08000025,AM Peak,School,0.1,169014120,3576653,250262,437
3,E08000025,AM Peak,School,0.07,169014120,3576653,173972,437
4,E08000025,AM Peak,School,0.05,169014120,3576653,123924,437
5,E08000025,AM Peak,School,0.03,169014120,3576653,76296,437
6,E08000025,AM Peak,Hospital,0.3,10829280,2314256,484703,28
7,E08000025,AM Peak,Hospital,0.2,10829280,2314256,328754,28
8,E08000025,AM Peak,Hospital,0.1,10829280,2314256,164828,28
9,E08000025,AM Peak,Hospital,0.07,10829280,2314256,112020,28
10,E08000025,AM Peak,Hospital,0.05,10829280,2314256,83271,28
11,E08000025,AM Peak,Hospital,0.03,10829280,2314256,48517,28
12,E08000025,AM Peak,Vaccination Centre,0.3,15857160,2133585,449608,41
13,E08000025,AM Peak,Vaccination Centre,0.2,15857160,2133585,305095,41
14,E08000025,AM Peak,Vaccination Centre,0.1,15857160,2133585,148838,41
15,E08000025,AM Peak,Vaccination Centre,0.07,15857160,2133585,104958,41
16,E08000025,AM Peak,Vaccination Centre,0.05,15857160,2133585,73280,41
17,E08000025,AM Peak,Vaccination Centre,0.03,15857160,2133585,43536,41
18,E08000025,AM Peak,Job Centre,0.3,3867600,972693,201149,10
19,E08000025,AM Peak,Job Centre,0.2,3867600,972693,136061,10
20,E08000025,AM Peak,Job Centre,0.1,3867600,972693,68826,10
21,E08000025,AM Peak,Job Centre,0.07,3867600,972693,47959,10
22,E08000025,AM Peak,Job Centre,0.05,3867600,972693,33815,10
23,E08000025,AM Peak,Job Centre,0.03,3867600,972693,21236,10
24,E08000026,AM Peak,School,0.3,13993200,795375,168170,115
25,E08000026,AM Peak,School,0.2,13993200,795375,110146,115
26,E08000026,AM Peak,School,0.1,13993200,795375,56227,115
27,E08000026,AM Peak,School,0.07,13993200,795375,38179,115
28,E08000026,AM Peak,School,0.05,13993200,795375,26669,115
29,E08000026,AM Peak,School,0.03,13993200,795375,17683,115
30,E08000026,AM Peak,Hospital,0.3,365040,142864,29975,3
31,E08000026,AM Peak,Hospital,0.2,365040,142864,19447,3
32,E08000026,AM Peak,Hospital,0.1,365040,142864,10359,3
33,E08000026,AM Peak,Hospital,0.07,365040,142864,7083,3
34,E08000026,AM Peak,Hospital,0.05,365040,142864,5064,3
35,E08000026,AM Peak,Hospital,0.03,365040,142864,3267,3
